FORMULARIO,CODIGO_ACCIDENTE,FECHA,CODIGO_VICTIMA,CODIGO_VEHICULO,TIPO_ACTOR,ESTADO,GENERO,EDAD,GRAVEDAD,CLASE_SINIESTRO,DIRECCION,LONGITUD,LATITUD,CODIGO_LOCALIDAD,TOTAL_HERIDOS,TOTAL_MUERTOS,MOD_VEHICULO,CLASE_VEHICULO,SERVICIO_VEHICULO,CODIGO_CAUSA
A001386656,10557613,06/12/21,2,2.0,ACOMPANANTE,HERIDO,MASCULINO,88.0,2,1,KR 78  - CL 75   02,-74.092316593,4.69076078400002,12,4.0,,2005.0,1.0,3.0,121
A001451449,10571362,18/05/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,21.0,2,1,CL 13 A  - KR 88   02,-74.147,4.655,8,1.0,,2019.0,1.0,3.0,103
A001343265,10550119,21/09/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,22.0,1,1,TV 60  - CL 120   02,-74.07116579,4.70601385000003,11,,1.0,2017.0,1.0,3.0,142
A001346629,10554517,07/11/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,52.0,2,1,KR 111 A  - CL 145   02,-74.100627725,4.749246911,11,1.0,,2017.0,1.0,3.0,157
A001392733,10563439,18/02/22,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,35.0,2,1,CL 80  - KR 107   02,-74.117,4.716,10,2.0,,2020.0,10.0,3.0,98
A001234938,10533891,01/12/20,2,2.0,ACOMPANANTE,HERIDO,FEMENINO,14.0,2,1,CL 19 - KR 8  02,-74.072364599,4.60560644200001,3,3.0,,2015.0,10.0,3.0,112
A001183892,10522911,13/10/20,0,2.0,MOTOCICLISTA,MUERTO,FEMENINO,35.0,1,1,KR 104-CL 77A 2,0.0,0.0,10,0.0,1.0,2020.0,10.0,3.0,102
A001241515,10534551,01/03/21,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,22.0,2,1,CL 48 S- KR 26  02,-74.130683706,4.58102499799998,6,1.0,,2018.0,10.0,3.0,157
A001394719,10565841,16/03/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,53.0,2,1,CL 57 R  S- KR 75  S 02,-74.175,4.597,7,1.0,,2012.0,8.0,2.0,98
A001450250,10570476,09/05/22,5,1.0,PASAJERO,HERIDO,MASCULINO,21.0,1,1,KR 10  - CL 7   02,-74.08,4.596,3,5.0,2.0,2014.0,2.0,2.0,103
A001390632,10560752,17/01/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,58.0,2,1,AV AVENIDA CIRCUNVALAR DEL SUR - CL 72   02,-74.05,4.652,2,1.0,,1990.0,5.0,3.0,121
A001240076,10533912,21/02/21,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,35.0,2,1,KR 9 E- CL 37 S 27,-74.086517426,4.55083506699998,4,1.0,,2014.0,10.0,3.0,121
A001450981,10571008,14/05/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,43.0,2,1,KR 68  - CL 26   02,-74.103,4.654,10,1.0,,2022.0,2.0,2.0,114
A001343763,10550680,27/09/21,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,29.0,2,1,AU NORTE - CL 182   02,-74.044954121,4.75914056200003,1,3.0,,2021.0,10.0,3.0,121
A001304133,10544589,16/07/21,1,2.0,CONDUCTOR,HERIDO,MASCULINO,44.0,2,1,CL 42  S- KR 91   02,-74.17253715,4.640483324,8,5.0,,2006.0,1.0,3.0,304
A001452514,10572184,30/05/22,1,1.0,PASAJERO,HERIDO,FEMENINO,55.0,2,4,KR 72  - CL 5 C  02,-74.138,4.629,8,1.0,,2011.0,2.0,2.0,506
A001343265,10550119,21/09/21,1,2.0,CICLISTA,MUERTO,MASCULINO,23.0,1,1,TV 60  - CL 120   02,-74.07116579,4.70601385000003,11,,1.0,,13.0,0.0,142
A001346439,10553640,28/10/21,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,27.0,2,1,KR 9  - CL 147   02,-74.032419151,4.725617441,1,3.0,,2016.0,10.0,3.0,122
A001241779,10535059,07/03/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,54.0,2,1,KR 10 - CL 24  02,-74.071338216,4.61082407599997,3,1.0,,2009.0,1.0,2.0,157
A001390011,10560610,11/01/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,22.0,2,1,CL 24  - KR 97   02,-74.132890628,4.680077412,9,1.0,,2014.0,1.0,2.0,142
A001241726,10534942,08/03/21,2,2.0,ACOMPANANTE,HERIDO,FEMENINO,43.0,2,1,CL 160 C - KR 1 A E 02,-74.018021557,4.73217726,1,1.0,,2019.0,10.0,3.0,122
A001512929,10579909,02/09/22,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,47.0,2,1,AV AVENIDA BOYACA - CL 35  S 02,-74.14,4.616,8,3.0,,2020.0,10.0,3.0,157
A001300086,10541002,01/06/21,0,1.0,MOTOCICLISTA,ILESO,MASCULINO,41.0,2,1,KR 82  - CL 42 B  S 02,-74.167353735,4.62782980899999,8,2.0,,2012.0,10.0,3.0,104
A001348017,10555150,11/11/21,0,1.0,CICLISTA,HERIDO,MASCULINO,30.0,2,1,CL 78 B  - KR 107   02,-74.118280349,4.71385709700002,10,1.0,,,13.0,0.0,157
A001393686,10564418,28/02/22,2,3.0,CONDUCTOR,ILESO,MASCULINO,38.0,2,1,CL 63  S- KR 17   02,-74.138036688,4.556849363,19,2.0,,1978.0,5.0,3.0,302
A001452171,10575885,12/07/22,1,2.0,CICLISTA,HERIDO,FEMENINO,33.0,2,1,TV 80  - CL 91  S 02,-74.214,4.613,7,1.0,,,13.0,0.0,157
A001448161,10567982,11/04/22,0,1.0,MOTOCICLISTA,MUERTO,MASCULINO,36.0,1,1,CL 99  - TV 55   02,-74.065,4.688,12,,1.0,2021.0,10.0,3.0,301
A001305367,10545449,27/07/21,2,2.0,ACOMPANANTE,HERIDO,MASCULINO,31.0,2,1,AC 84  S- AK 14   02,-74.115521184,4.50863253099999,5,2.0,,2015.0,10.0,3.0,142
A001387021,10557836,09/12/21,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,43.0,2,1,KR 80  - CL 58 J  S 35,-74.180008605,4.61013517800001,7,2.0,,2010.0,10.0,3.0,121
A001447136,10567432,01/04/22,2,2.0,ACOMPANANTE,HERIDO,MASCULINO,20.0,2,1,CL 1  - KR 22   02,-74.097,4.594,14,3.0,,2018.0,10.0,3.0,103
A001184590,10525351,27/10/20,1,,PEATON,HERIDO,SIN INFORMACION,,1,2,KR 68-CL 26 02,0.0,0.0,13,1.0,1.0,,,,157
A001388721,10559431,22/12/21,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,35.0,2,1,KR 114  - CL 80   02,-74.120976878,4.72188230900002,10,2.0,,2021.0,10.0,3.0,101
A001348534,10555921,21/11/21,1,,PEATON,HERIDO,MASCULINO,63.0,2,2,CL 37  S- KR 3  E 02,-74.093881925,4.55544264000002,4,1.0,,,,,157
A001454211,10573869,18/06/22,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,23.0,2,1,DG 69 F  S- TV 14 T  02,-74.121,4.522,5,3.0,,2021.0,10.0,3.0,112
A001341375,10548551,01/09/21,1,,PEATON,HERIDO,MASCULINO,52.0,2,2,KR 75  - CL 58 C  S 3,-74.175397937,4.593343269,19,1.0,,,,,157
A001305962,10546274,05/08/21,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,22.0,2,2,CL 2  - KR 88 C  7,-74.161432148,4.64271825399999,8,2.0,,2021.0,10.0,3.0,411
A001339505,10547763,23/08/21,1,,PEATON,HERIDO,FEMENINO,21.0,2,2,KR 30  - CL 65   02,-74.07447443,4.65886380199998,12,1.0,,,,,411
A001241208,10534672,03/03/21,1,2.0,CICLISTA,MUERTO,MASCULINO,21.0,1,1,CL 65 - KR 14  02,-74.064200587,4.65264475600003,12,,1.0,,13.0,0.0,103
A001306153,10546506,09/08/21,3,2.0,ACOMPANANTE,HERIDO,MASCULINO,22.0,2,1,CL 59  S- KR 78 D  02,-74.179395533,4.60401327800002,7,4.0,,2010.0,10.0,3.0,139
A001386934,10557787,07/12/21,1,2.0,MOTOCICLISTA,HERIDO,FEMENINO,27.0,2,1,KR 87 B B - CL 8 A  72,-74.150647202,4.64913629099999,8,1.0,,2017.0,10.0,3.0,122
A001234424,10527769,28/11/20,0,3.0,MOTOCICLISTA,HERIDO,MASCULINO,28.0,2,1,AV AVENIDA CIUDAD DE CALI-CL 127 02,0.0,0.0,11,2.0,0.0,2016.0,10.0,3.0,103
A001184543,10527201,23/11/20,1,,PEATON,MUERTO,MASCULINO,20.0,1,2,KR 80-CL 2 51,0.0,0.0,8,0.0,1.0,,,,0
A001392696,10563503,19/02/22,2,3.0,CICLISTA,HERIDO,MASCULINO,27.0,2,1,CL 48  S- KR 87   02,-74.176,4.629,8,2.0,,,13.0,0.0,127
A001304556,10544727,17/07/21,0,1.0,CONDUCTOR,HERIDO,MASCULINO,57.0,1,2,KR 19 B  - CL 22   02,-74.081307663,4.61567089300007,14,1.0,1.0,2007.0,1.0,3.0,157
A001514634,10581467,24/09/22,1,,PEATON,HERIDO,MASCULINO,15.0,2,2,CL 135  - KR 105   02,-74.1,4.739,11,2.0,,,,,157
A001297170,10537864,13/04/21,0,1.0,CONDUCTOR,MUERTO,MASCULINO,29.0,1,1,TV 2 D BIS - CL 49 D S 02,-74.110008152,4.54382271300005,18,,1.0,1978.0,5.0,3.0,157
A001513487,10580416,08/09/22,1,1.0,PASAJERO,HERIDO,FEMENINO,54.0,2,4,CL 63  - KR 72   02,-74.104,4.675,10,1.0,,2010.0,2.0,2.0,122
A001386560,10557535,03/12/21,1,,PEATON,HERIDO,MASCULINO,10.0,2,2,CL 54 D BIS D S- KR 88 C  02,-74.185,4.629,7,1.0,,,,,157
A001512491,10579059,24/08/22,1,2.0,MOTOCICLISTA,MUERTO,MASCULINO,31.0,1,1,KR 19 B BIS - CL 59  S 02,-74.138,4.564,6,,1.0,2021.0,10.0,3.0,157
A001512235,10579098,22/08/22,0,1.0,CONDUCTOR,ILESO,FEMENINO,53.0,2,1,KR 50  - AV AVENIDA PRIMERO DE MAYO  02,-74.13,4.61,16,1.0,,2010.0,1.0,3.0,121
A001387575,10557762,08/12/21,2,2.0,ACOMPANANTE,HERIDO,FEMENINO,18.0,2,1,AV AVENIDA DE LOS CERROS - KR 19 BIS  02,-74.064,4.601,3,3.0,,2016.0,10.0,3.0,121
